#
#  ecocyc 20.0 Pathways link table generated on Mon Apr 18, 2016
#
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	formaldehyde oxidation II (GSH-dependent)
PWY-901	methylglyoxal degradation II	glyoxalase pathway	methylglyoxal catabolism
PWY-5386	methylglyoxal degradation I	
PWY-5453	methylglyoxal degradation III	
METHGLYUT-PWY	superpathway of methylglyoxal degradation	
PWY-5459	methylglyoxal degradation IV	
PWY0-1315	L-lactaldehyde degradation (anaerobic)	
PWY0-1317	L-lactaldehyde degradation (aerobic)	
PWY0-1546	muropeptide degradation	
GLYCOCAT-PWY	glycogen degradation I	glycogen catabolism I
2PHENDEG-PWY	phenylethylamine degradation I	
PWY0-1477	ethanolamine utilization	
PWY-6071	superpathway of phenylethylamine degradation	
ORNDEG-PWY	superpathway of ornithine degradation	
GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation	N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminic acid dissimilation
PWY0-1221	putrescine degradation II	
PUTDEG-PWY	putrescine degradation I	putrescine degradation
PWY-6535	4-aminobutanoate degradation I	&gamma;-amino-butyrate shunt	GABA degradation
PWY-6537	4-aminobutanoate degradation II	
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation	&gamma;-amino-butyrate shunt	GABA degradation
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)	
PWY-5705	allantoin degradation to glyoxylate III	
PWY0-41	allantoin degradation IV (anaerobic)	
PWY0-1324	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation
CARNMET-PWY	L-carnitine degradation I	
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	glucosamine degradation	N-acetyl-glucosamine degradation
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	
PWY-7181	pyrimidine deoxyribonucleosides degradation	
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	
PWY0-1295	pyrimidine ribonucleosides degradation	
PWY-6556	pyrimidine ribonucleosides salvage II	
PWY-7195	pyrimidine ribonucleosides salvage III	
PWY0-1471	uracil degradation III	
PWY0-1391	<i>S</i>-methyl-5'-thioadenosine degradation IV	methylthioadenosine degradation IV
PWY-7179	purine deoxyribonucleosides degradation I	
PWY0-1296	purine ribonucleosides degradation	
PWY-6019	pseudouridine degradation	
PWY-6608	guanosine nucleotides degradation III	
PWY-6617	adenosine nucleotides degradation III	adenosine ribonucleotide/ribonucleoside metabolism
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	purine ribonucleotide/ribonucleoside metabolism
FUCCAT-PWY	fucose degradation	fucose catabolism
PWY0-44	D-allose degradation	D-allose catabolism
PWY0-1309	chitobiose degradation	
PWY-7180	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	
RIBOKIN-PWY	ribose degradation	ribose catabolism
PWY0-1314	fructose degradation	
PWY0-1300	2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	
LYXMET-PWY	L-lyxose degradation	L-lyxose metabolism
PWY0-1301	melibiose degradation	
MANNCAT-PWY	D-mannose degradation	mannose degradation
XYLCAT-PWY	xylose degradation I	xylose catabolism
BGALACT-PWY	lactose degradation III	lactose degradation 3
GALACTMETAB-PWY	galactose degradation I (Leloir pathway)	Leloir pathway
ARABCAT-PWY	L-arabinose degradation I	L-arabinose catabolism
DARABCATK12-PWY	D-arabinose degradation I	D-arabinose catabolism
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)	
PWY0-1182	trehalose degradation II (trehalase)	
PWY0-1466	trehalose degradation VI (periplasmic)	
RHAMCAT-PWY	L-rhamnose degradation I	rhamnose catabolism	rhamnose degradation
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I	ED pathway
PWY0-1313	acetate conversion to acetyl-CoA	
GLUCONSUPER-PWY	D-gluconate degradation	gluconate utilization
PWY0-1465	D-malate degradation	
PWY-5162	2-oxopentenoate degradation	2-oxopent-4-enoate degradation	2-ketopentenoate degradation
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	pyruvate dehydrogenase complex	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)
PWY-6038	citrate degradation	
ACETATEUTIL-PWY	superpathway of acetate utilization and formation	
PWY-7242	D-fructuronate degradation	
