#
#  ecocyc 20.0 Genes link table generated on Mon Apr 18, 2016
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   EG#          = EcoGene identifier
#   b#           = Blattner Genbank record identifier
#   y-name       = EcoGene y-name assigned in 1998 if the function was not established at that time
#   CGSC-ID      = Coli Genetic Stock Center identifier
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
G0-16600	EG31192	b4714				ralA
G6866	EG12668	b1615			Q47706	uidC
G0-10751	EG31189	b4712				agrA
G0-10752	EG31190	b4713				agrB
G6335	EG13537	b0608	ybdR		P77316	ybdR
G6177	EG13583	b0307	ykgF		P77536	ykgF
G0-8892	EG14395	b4599	yneM		A5A616	yneM
G0-10596	EG14445	b4605	ypaB			ypaB
EG12861	EG12861	b1915	yecF		P0AD07	yecF
EG12303	EG12303	b1100	ycfH		P0AFQ7	ycfH
EG12122	EG12122	b2944	yggI		P39902	yggI
EG11853	EG11853	b3888	yiiD		P0ADQ2	yiiD
EG11581	EG11581	b0801	ybiC		P30178	ybiC
EG11290	EG11290	b2152	yeiB		P25747	yeiB
EG11059	EG11059	b2319			P08390	usg
G7901	EG12545	b4280	yjhC		P39353	yjhC
G7722	EG12907	b3369	yhfL		P64627	yhfL
G7580	EG12185	b3033	yqiB		P0ADU7	yqiB
G7489	EG13053	b2870	ygeW		Q46803	ygeW
G7448	EG13170	b2790	yqcA		P65367	yqcA
G7328	EG13453	b2534	yfhR		P77538	yfhR
G7174	EG13184	b2267	yfbC		P0AEH3	elaA
G7043	EG13280	b1935	yedM		P76322	yedM
G6953	EG14008	b1758	ynjF		P76226	ynjF
G6816	EG13821	b1542	ydfI		P77260	ydfI
G6746	EG13759	b1435	ydcP		P76104	ydcP
G6631		b1228	ychS		P76023	ychS
G6499	EG13723	b0965	yccU		P75874	yccU
G6253	EG14238	b0458	ylaC		P0AAS0	ylaC
G6159	EG14323	b0288	ykgJ		P0AAL9	ykgJ
G0-10656	EG14489	b4684	yqfG		C1P614	yqfG
G0-10590	EG14450	b4594	ymgJ		A5A612	ymgJ
EG12692	EG12692	b0599	ybdH		P45579	ybdH
EG12277	EG12277	b3573	ysaA		P56256	ysaA
EG12049	EG12049	b2188	yejM		P0AD27	yejM
EG11812	EG11812	b4186	yjfC		P33222	yjfC
