CPLX0-7849			2,3-dihydroxybenzoyl-EntB	
EG50003-MONOMER	EG50003	P0A6A8	apo-[acyl carrier protein]	apoprotein [acyl carrier protein], AcpP, acyl carrier protein, apo-ACP, ACP
ENTB-MONOMER	EG10260	P0ADI4	EntB monomer	EntB, EntG
ENTF-PANT	EG10264		<i>holo</i> [EntF peptidyl-carrier protein]	enterochelin synthase F, enterobactin synthetase component F, aryl carrier protein / serine activating enzyme
HOLO-ENTB	EG10260		<i>holo</i> EntB monomer	
ACP-MONOMER	EG50003		holo-[acyl-carrier protein]	AcpM, AcpP, acyl carrier protein, ACP-SH, ACP
CPLX0-1041			CsrA complex with CsrB RNA	
SRP-CPLX			Signal Recognition Particle Protein Translocation System	
CPLX0-3964			ribosome	
CPLX0-1382			RNase P	
CPLX0-8028			CsrA complex with McaS RNA	
CPLX0-3953			30S ribosomal subunit	ribosome, small subunit
CPLX0-8053			SelB-L-selenocysteinyl-tRNA<SUP>sec</SUP>	
CPLX0-3962			50S ribosomal subunit	ribosome, large subunit
MONOMER0-2660	G0-10438	P0AAS9	conserved protein	YbdD
FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN	G358	P0ABW9	flagellar basal-body rod protein FlgB	FlbA, FlgB
PGAM2-MONOMER	EG12164	P0A7A2	predicted phosphatase	YtjC, GpmB
B2771-MONOMER	G7437	Q46909	YgcS MFS transporter	YgcS
G6507-MONOMER	G6507	P75884	predicted outer membrane lipoprotein	YmcC, GfcB
YHHO-MONOMER	EG12215	P37617	zinc, cadmium and lead efflux system	YhhO, ZntA
G6956-MONOMER	G6956	P76228	predicted inner membrane protein	YnjI
EG10658-MONOMER	EG10658	P0A903	Outer Membrane Protein Assembly Complex - BamC subunit	DapX, NlpB, lipoprotein-34
EG11303-MONOMER	EG11303	P29010	Qin prophage; predicted protein	YdfD
G7408-MONOMER	G7408	P77475	fructose-1-phosphatase	YqaB
G7880-MONOMER	G7880	P39333	c-di-GMP binding protein involved in biofilm dispersal	BdcA, YjgI
EG11941-MONOMER	EG11941	P32704	conserved protein	YjcF
MONOMER0-1922	G0-9962	A5A627	toxic peptide TisB	YsdB, TisB
FDOG-MONOMER	EG11858	P32176	formate dehydrogenase-O, &alpha; subunit	FdoG
PD03938	EG10591	P0A9F9	MetR	
B1634-MONOMER	G6877	P77304	tripeptide / dipeptide:H<sup>+</sup> symporter DtpA	TppB, YdgR, DtpA, TppB peptide POT transporter
G6490-MONOMER	G6490	P0AFL9	paraquat-inducible protein A	PqiA
YGJE-MONOMER	EG12393	P39414		YgjC, YgjE, TtdT, TtdT tartrate/succinate DASS transporter
G6932-MONOMER	G6932	P77247	2-deoxyglucose-6-phosphatase	YniC
EG10607-MONOMER	EG10607	P0ABG7	rod shape-determining membrane protein; sensitivity to radiation and drugs	RodA, MdrB, MrdB
EG11285-MONOMER	EG11285	P0AFU4	GlrR DNA-binding transcriptional activator	YfhA, GlrR, GlrR response regulator
G7382-MONOMER	G7382	P52143	adhesin-like autotransporter	YpjA
G7863-MONOMER	G7863	P39309	predicted transcriptional regulator	YtfA
EG11923-MONOMER	EG11923	P0AF45	predicted protein	YjbE
MONOMER0-1561	G0-9561	P56976	&beta;-lactam resistance protein	Blr
ENTF-MONOMER	EG10264	P11454	apo-serine activating enzyme	EntF
PD01520	EG10281	P0A8V6	FadR DNA-binding transcriptional dual regulator	Ole, Dec, ThdB, OleR, FadR
B0427-MONOMER	G6241	P77726	putative transport protein, major facilitator superfamily (MFS)	YajR
G6470-MONOMER	G6470	P43674	predicted peptidase with chaperone function	YcaL
YEHW-MONOMER	EG12009	P33359	glycine betaine ABC transporter - putative membrane subunit	YehW
G6914-MONOMER	G6914	P0AFS7	predicted inner membrane protein	YdiK
EG10570-MONOMER	EG10570	P0AE18	methionine aminopeptidase	Map
EG11250-MONOMER	EG11250	P08365	ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system	YjfB, ChpS, ChpBI
G7366-MONOMER	G7366	P52130	CP4-57 prophage; antitoxin of the RnlA-RnlB toxin-antitoxin system	RnlB, YfjO
G7845-MONOMER	G7845	P63177	23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase monomer	RlmB, YjfH
EG11903-MONOMER	EG11903	P32668	conserved protein	YijF
MONOMER0-141	G7301	P77416	hydrogenase 4, component D	HyfD
EG13236-MONOMER	EG13236	P54746	&alpha;-mannosidase	YbgG, MngB
PD00413	EG11042	P07604	TyrR DNA-binding transcriptional dual regulator	TyrR
ASPS-MONOMER	EG10097	P21889	aspartyl-tRNA synthetase	Tls, AspS
G6450-MONOMER	G6450	P75818	predicted lipoprotein	YbjP
YDDO-MONOMER	G6777	P77622	YddO	DdpF
G6897-MONOMER	G6897	P77147	conserved protein	YdhT
EG10505-MONOMER	EG10505	P0A705	protein chain initiation factor IF2	SsyG, InfB, IF-2
EG11222-MONOMER	EG11222	P04395	3-methyl-adenine DNA glycosylase II, inducible	AidA, AlkA
G7348-MONOMER	G7348	P0AFX9	rseB	RseB
G7825-MONOMER	G7825	P39270	conserved inner membrane protein	YjdF
EG11881-MONOMER	EG11881	P0A6H5	ATPase component of the HslVU protease	HtpI, ClpY, HslU, D48.5
MHPHYDROXY-MONOMER	M010	P77397	3-(3-hydroxyphenyl)propionate 2-hydroxylase	MhpA
EG12860-MONOMER	EG12860	P46118	YebK DNA-binding transcriptional repressor	YebK
PD00283	EG10974	P15082	GutR DNA-binding transcriptional repressor	GutR, SrlR
ARTQ-MONOMER	EG11626	P0AE34	L-arginine ABC transporter - membrane subunit	
G6433-MONOMER	G6433	P75800	predicted c-di-GMP-specific phosphodiesterase	PdeI, YliE
YCBM-MONOMER	G6476	P75851	aliphatic sulfonate ABC transporter - membrane subunit	YcbM
G6876-MONOMER	G6876	P77179	integral membrane protein of SoxR-reducing complex	YdgQ, RsxE
EG10463-MONOMER	EG10463	P0C0V0	DegP	Ptd, protease Do, HtrA
EG11199-MONOMER	EG11199	P03817	flavoprotein involved in biotin synthesis	YieB, MioC
G7323-MONOMER	G7323	P76578	&alpha;-macroglobulin	YfhM, ECAM
G7767-MONOMER	G7767	P0AEE1	periplasmic protein involved in bacteriophage sensitivity	YhhR, DcrB
EG11852-MONOMER	EG11852	P0A6M4	D-Tyr-tRNA<sup>Tyr</sup> deacylase	Dtd, YihZ
METG-MONOMER	EG10586	P00959	methionyl-tRNA synthetase	MetG, MetRS
EG12712-MONOMER	EG12712	P45578	<i>S</i>-ribosylhomocysteine lyase	LuxS, YgaG
PD00208	EG11230	P0ACH8	MelR DNA-binding transcriptional dual regulator	MelR
AROA-MONOMER	EG10073	P0A6D3		AroA
G6412-MONOMER	G6412	P75777	predicted membrane fusion protein	YbhG
